Cosine Applicant vs Job,Cosine Optimized vs Job,Cosine Applicant vs Optimized,Jaccard Applicant vs Job,Jaccard Optimized vs Job,Jaccard Applicant vs Optimized,SBERT Applicant vs Job,SBERT Optimized vs Job,SBERT Applicant vs Optimized,Count Applicant vs Job,Count Optimized vs Job,Count Applicant vs Optimized,LSA Applicant,LSA Optimized,LSA Job
0.4909269001709676,0.6198580042311539,0.8168586719501763,0.3769633507853403,0.05811138,0.076586433,0.5562333464622498,0.546987772,0.8324432373046875,20,30,181,[56.00302192 27.7060986 ],[ 99.16298245 -15.53077826],[ 6.55556338 -1.76139783]
0.5412546514271476,0.6655989186541442,0.8735222343306094,0.2853932584269663,0.058823529,0.108695652,0.7238408327102661,0.6817561984062195,0.686429501,16,30,93,[46.65145778 17.14938987],[ 70.45387793 -11.00259014],[ 7.76583243 -3.20234762]
0.4978638086556318,0.6496244049638901,0.8583282518118596,0.3090211132437619,0.071216617,0.093478261,0.5066244602203369,0.6549477577209473,0.6898550987243652,15,37,125,[ 53.50603152 -21.68617911],[85.20699831 12.84652913],[12.59556123  5.21828251]
0.1532710330161258,0.1743463018983429,0.7756834517224278,0.2091194968553459,0.048076923,0.058823529,0.3787544965744018,0.4632962346076965,0.7798001766204834,10,24,121,[112.92988458  51.17461233],[148.1219172  -39.01138428],[ 1.9282425 -0.3640783]
0.7403038311015168,0.8379483598512051,0.8336249361569854,0.2093023255813953,0.083591331,0.1595092024539877,0.587583065,0.6129193305969238,0.7269073724746704,36,57,97,[ 51.68844973 -22.35625974],[79.22040134 14.15603992],[20.67468687  1.65000049]
0.3762613054062932,0.582473243,0.7827598420381081,0.3238866396761133,0.051428571,0.1204819277108433,0.6192703247070312,0.6460747718811035,0.7192622423171997,7,21,72,[14.74170569  9.39285876],[41.40142232 -2.46339194],[ 6.96978472 -5.2338531 ]
0.615476683,0.7150857333269903,0.7579666004840999,0.2668539325842696,0.1272189349112426,0.1798941798941798,0.662161112,0.6787339448928833,0.6441740393638611,31,57,76,[24.23709801  4.72155609],[41.22832305  9.48358303],[ 28.35538651 -17.8247982 ]
0.5529708649005474,0.7334757404124211,0.6636300040519924,0.1946902654867256,0.06614786,0.1540697674418604,0.3104164004325866,0.7550379037857056,0.5522817373275757,12,52,59,[ 34.89461791 -26.94961493],[69.72897982 13.27293767],[19.86779054  0.74935927]
0.5529708649005474,0.7334757404124211,0.6636300040519924,0.1946902654867256,0.06614786,0.1540697674418604,0.3104164004325866,0.7550379037857056,0.5522817373275757,12,52,59,[ 34.89461791 -26.94961493],[69.72897982 13.27293767],[19.86779054  0.74935927]
0.3808627044378012,0.5166157045583969,0.7707262941740274,0.1967435549525101,0.04534005,0.1150592216582064,0.4303118586540222,0.6823873519897461,0.6436323523521423,16,48,144,[101.12152422 -52.97381327],[159.03932213  33.6013548 ],[4.03492321 3.18619502]
0.5429350984069609,0.7472498649954218,0.8395046172916258,0.2745995423340961,0.095930233,0.1851851851851851,0.5284583568572998,0.7356411218643188,0.6088666319847107,37,71,122,[ 33.08057436 -16.49093799],[70.0647138   5.00974082],[19.65249745  9.89816406]
